brand,num_lines,revenue
Apple,14006,7695647.89
Pack,2638,2464362.97
LaCie,2100,535156.4
OWC,3628,492387.24
Wacom,1819,471567.93
Western Digital,1910,396589.19
LG,773,391061.66000000003
Crucial,2042,325710.16
Dell,644,291020.97000000003
Synology,586,206212.66
Samsung,803,159721.80000000002
Seagate,879,157694.57
QNAP,276,109782.65
Bose,461,102183.13
G-Technology,268,100092.68000000001
NewerTech,1584,93086.34
Satechi,1954,87881.38
BenQ,185,87467.97
Sonos,199,82954.37
Belkin,2268,76418.89
SanDisk,1132,60676.71
iFixit,1520,59283.479999999996
Matias,531,57293.21
Trascend,398,51915.41
Netatmo,308,48976.29
JBL,587,41824.89
Beats,171,37474.07
FCM,478,36907.31
Eizo,46,36692.39
Philips,533,33650.7
Kingston,403,33303.9
Lifeproof,570,31671.45
Logitech,439,30221.0
Ninebot,61,29153.65
Toshiba,320,28516.59
Sphero,300,26932.14
D-Link,326,26159.38
Griffin,848,23947.19
Cyberpower,96,22046.28
Hyper Pearl,306,21897.26
Drobo,43,21779.11
DJI,58,20757.16
Plantronics,249,19930.72
ZaggKeys,745,18506.579999999998
Parrot,86,18453.99
Elgato,222,18265.77
Tucano,709,17433.27
Sonnet,93,17020.74
Otterbox,657,16873.52
TP-Link,349,16810.27
Akitio,94,16424.920000000002
Lexar,379,15434.45
Moshi,497,15316.91
Thule,236,15316.41
Fitbit,54,15247.74
Startech,475,15165.55
Spek SeeThru,446,14284.91
TrackR,314,12444.41
Nokia,115,12351.11
Mophie,404,12044.92
Jaybird,195,11329.8
Repair,123,10199.53
Macally,380,9695.97
LMP,163,8851.76
Promise,4,8583.36
Kanex,299,8428.89
Nest,48,8297.69
IK Multimedia,132,8244.41
Adonit,191,8042.57
Twelve South,147,7633.2
Jawbone,156,7601.57
Olloclip,79,7112.7
X-Doria,273,7096.19
Glyph Atom,21,6943.9400000000005
STM,173,6800.9400000000005
Blue Microphones,54,6630.89
Withings,53,6630.46
Service,131,6563.67
Allocacoc,322,6246.38
Elago,302,6114.5
Henge Docks,68,5916.25
Hoco Nike,167,5745.24
iOttie,231,5684.17
Honeywell,31,5464.29
Nomad,115,5324.46
Rain Design,100,5233.78
Replacement,259,5040.84
Microsoft,41,4974.27
Pebble,44,4890.92
Fibaro,63,4863.6
Tado,25,4046.0
Devolo,44,3992.6600000000003
Prynt,50,3883.32
Muvit,291,3763.0299999999997
GoPro,20,3617.3500000000004
Incase,62,3373.5099999999998
Jabra,44,3315.81
iHealth,60,3216.93
Minibatt,148,3118.68
Wowewa,295,3113.26
Just Mobile,123,2960.13
LandingZone,13,2948.16
Moleskine,16,2840.28
Be.ez,115,2830.31
Booq,46,2601.15
Evutec,96,2348.1099999999997
Polaroid,34,2196.69
Harman Kardon,14,2013.99
X-Rite,6,1809.57
Puro,137,1777.6
Koogeek,42,1768.4099999999999
Moxie,234,1679.78
Osmo,17,1606.4199999999998
Nimbus,28,1595.45
Sen.se,70,1547.96
My MW,65,1423.05
SwitchEasy,114,1291.71
SDesign,17,1229.82
Sena,24,1227.49
Leef,18,1216.61
HGST Travelstar,15,1169.6399999999999
Tech21,32,1101.71
Trunk Sleeve,40,1096.82
SecurityXtra,13,1034.48
Stikgo,51,863.0799999999999
Wikango,9,839.91
Gamevice,9,820.22
8Mobility,36,755.87
Software,10,741.9
Maclocks,9,714.4
Tigra,21,710.8100000000001
Whoosh,51,651.64
Kenu Airframe,32,644.0799999999999
Devia,28,634.0
Dodocool,30,609.41
Kukaclip,74,584.4
Nonda,27,568.6899999999999
Tile,11,527.9300000000001
MyFox,2,498.99
Urban Armor Gear,14,455.68
Tangram,7,439.52
Ryval,8,431.90000000000003
Xtorm,6,422.67
Mediterrans,29,403.84
Qardio,5,399.95
Celly,32,396.57
Oblumi,10,339.49
Cygnett,9,302.06
Mobility Lab,18,298.62
Noke,5,265.95
Xoopar,15,251.64999999999998
Hitcase,3,239.54
Band&Strap,6,231.94
Zepp,2,230.11
iFrogz,10,199.89
Runstastic,6,194.94
Nodon,7,172.41
Stacked,2,157.98
Elevation Lab,5,149.76
Unknown,4,136.95
Cogito,2,120.66
Joby,3,119.97
Ndevr,4,119.96
Casetify,5,97.94999999999999
Olixar,5,96.47999999999999
Kaiser Baas,1,88.99
FiftyThree,4,82.55
Tribe,4,66.96
Boostcase,2,59.98
Stil Mind,3,50.699999999999996
Pqi,1,49.99
I AM,3,46.47
Lunatik,2,36.98
Aiino,2,33.01
QDos,3,31.97
Retrak Utopia,1,29.69
BodyGuardz,1,27.99
BlueLounge,2,26.71
Acme,1,23.99
Opulus,2,17.89
Mistify,1,13.99
